Pretty Formula,Density,Energy,Energy_per_Atom,Volume,Formation_Energy_per_Atom,Band Gap
Sb2S3,4.253169735726748,-87.61452218,-4.380726108999999,530.5313966052751,-0.6511364994375001,1.2906999999999993
Sb2Se3,4.3399332857251,-78.1766583,-3.908832915,735.239831856281,-0.16419478015625016,0.4902000000000002
Sb2Te3,6.121654615148331,-18.32252304,-3.664504608,169.89341557414852,-0.12811704200000024,0.15499999999999936
Sb11F43,4.026649280432314,-502.85914358,-4.656103181296296,1778.454341727122,-2.684168659558704,3.5092999999999996
SbCl5,2.385375455315638,-137.74261284,-2.8696377675,1665.2898321041755,-1.136870916883333,1.7221
SbBr3,3.702298903142647,-45.85998189,-2.866248868125,648.5034121446818,-0.6126512281250003,3.1147
SbI3,4.293227601619519,-20.26892144,-2.53361518,388.69437695414854,-0.36248419499999995,2.1496000000000004
Bi2O3,8.137832067615143,-113.60711906,-5.680355953,380.3190353944531,-1.5852088642500006,2.5884
BiS2,5.995074610020537,-51.72182271,-4.3101518924999995,302.5887155245679,-0.7011245568749995,1.0487000000000002
BiSe2,6.937292135854188,-46.92633772,-3.9105281433333334,351.2912104956922,-0.2847802240624997,0.8895999999999997
Bi4Te3,8.069003410529334,-26.16271892,-3.7375312742857143,250.80356181910508,-0.16321339857142853,0.21260000000000012
BiF5,4.498726793680793,-95.45267625,-3.97719484375,448.80081587540445,-2.143695576408333,1.9047999999999998
BiCl3,4.180391757496559,-52.62137921,-3.288836200625,501.0376203246132,-1.37388673432,3.3556
BiBr3,4.438965802803342,-23.75433261,-2.96929157625,335.6958716288198,-0.7729692574999998,2.835
BiI3,4.227851408659029,-41.12738735,-2.570461709375,926.437093929868,-0.45660604562500007,2.7184
SO5,1.516206271285304,-131.49212937,-5.478838723749999,490.91823302573516,-0.9158313083854163,1.8783999999999998
SeO2,3.7317785854814574,-123.66057193,-5.1525238304166665,394.9889630609597,-1.1717472324479168,3.2789
TeO2,5.362720434110516,-129.09495941,-5.378956642083334,395.3516375031536,-1.5138748045833335,2.2279000000000004
OF3,2.3615975464527534,-18.26360994,-2.2829512425,102.65118976975842,-0.16093484432999983,0.7188000000000003
Cl2O7,2.0336450138317073,-72.32586401,-4.018103556111111,298.6908504882315,-0.4522581903077783,3.6544000000000003
BrO4,1.9077455015942393,-80.12113103,-4.0060565515,501.01908146296853,0.26271055749999944,0.5223
IO3,4.856167960986448,-66.88873526,-4.18054595375,239.22789662014927,-0.6309697503125005,1.7939999999999996
XeO3,4.239816261923114,-35.85122158,-2.24070134875,280.8801313417359,0.9380477571874994,2.1319999999999997
SeS7,1.986789567195789,-96.51415844,-4.021423268333334,760.7737545140072,-0.5538696229622394,1.8794999999999997
SF6,2.257255712321843,-27.51616881,-3.9308812585714286,107.44494930780137,-2.2183499244575002,5.775500000000001
SCl4,1.902935813691013,-392.51285269,-2.4532053293125,4855.3111600425145,-0.7572408407330002,2.6189
SBr,2.434063382997265,-23.39645439,-2.92455679875,305.5448712938777,-0.3778401407812497,2.2298
TeSe,5.4506309267088735,-19.94111671,-3.3235194516666664,188.78600406880207,-0.007562180963541702,0.6497000000000002
